1624507883,JOHN DOE,DEBIT,250000,SUCCESS,restaurant
1624608050,E-COMMERCE A,DEBIT,150000,FAILED,clothes
1624512883,COMPANY A,CREDIT,12000000,SUCCESS,salary
1624615065,E-COMMERCE B,DEBIT,150000,PENDING,clothes
1624701000,SUPERMARKET X,DEBIT,350000,FAILED,grocery
1624702000,RESTAURANT Y,DEBIT,180000,FAILED,dining
1624703000,MARKETPLACE Z,DEBIT,500000,FAILED,electronics
1624704000,CLIENT A,CREDIT,2500000,SUCCESS,project payment
1624705000,BANK FEE,DEBIT,50000,SUCCESS,fee
1624706000,GYM CENTER,DEBIT,120000,PENDING,fitness
1624707000,ELECTRIC COMPANY,CREDIT,800000,SUCCESS,refund
1624708000,STREAMING SERVICE,DEBIT,60000,SUCCESS,entertainment
1624709000,TAX OFFICE,DEBIT,1000000,PENDING,tax
1624710000,PARTNER B,CREDIT,3000000,PENDING,bonus
1624711000,ONLINE SHOP,DEBIT,350000,FAILED,clothes
1624712000,TRANSPORT APP,DEBIT,75000,SUCCESS,ride
1624713000,DELIVERY APP,DEBIT,65000,PENDING,food delivery
1624714000,INSURANCE CO,DEBIT,400000,SUCCESS,insurance
1624715000,SAVINGS ACCOUNT,CREDIT,2000000,SUCCESS,interest
1624716000,MOBILE CARRIER,DEBIT,100000,SUCCESS,phone bill
1624717000,GADGET STORE,DEBIT,1200000,FAILED,smartphone
1624718000,GAME STORE,DEBIT,250000,SUCCESS,gaming
1624719000,COFFEE SHOP,DEBIT,45000,SUCCESS,coffee
1624720000,SUBSCRIPTION X,DEBIT,50000,PENDING,monthly plan
1624721000,CHARITY ORG,DEBIT,150000,SUCCESS,donation
1624722000,FREELANCE CLIENT,CREDIT,5000000,SUCCESS,freelance
1624723000,UTILITY COMPANY,DEBIT,700000,SUCCESS,water bill
1624724000,HOSPITAL,DEBIT,850000,FAILED,medical
1624725000,RENTAL SERVICE,DEBIT,2500000,SUCCESS,car rental
1624726000,ONLINE STORE,DEBIT,450000,PENDING,shoes
1624727000,COMPANY BONUS,CREDIT,8000000,SUCCESS,year-end bonus
